iter	Passed	Remaining
0	1	120
1	2	109
2	3	126
3	5	130
4	6	128
5	8	135
6	10	144
7	12	147
8	14	148
9	16	150
10	17	145
11	19	143
12	21	141
13	22	140
14	24	137
15	25	136
16	27	134
17	28	131
18	30	128
19	31	126
20	32	123
21	34	120
22	35	117
23	36	115
24	37	113
25	38	110
26	40	108
27	41	105
28	42	103
29	43	100
30	44	98
31	45	95
32	46	93
33	46	91
34	48	89
35	48	86
36	49	85
37	50	83
38	51	81
39	52	79
40	53	77
41	54	74
42	55	73
43	56	71
44	56	69
45	57	67
46	58	66
47	59	64
48	60	63
49	61	61
50	62	60
51	63	58
52	64	57
53	65	55
54	65	53
55	66	52
56	67	51
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	74	42
64	75	40
65	76	39
66	77	38
67	78	37
68	80	35
69	81	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
