iter	Passed	Remaining
0	144	144482
1	146	73035
2	148	49396
3	150	37484
4	152	30316
5	153	25492
6	157	22272
7	159	19838
8	162	17894
9	165	16370
10	166	15006
11	169	13933
12	172	13084
13	173	12253
14	175	11497
15	177	10910
16	178	10312
17	179	9798
18	181	9362
19	183	9004
20	185	8640
21	186	8299
22	187	7974
23	188	7666
24	189	7395
25	191	7162
26	192	6928
27	193	6714
28	194	6511
29	195	6320
30	196	6137
31	197	5981
32	199	5847
33	200	5699
34	201	5550
35	202	5410
36	202	5276
37	203	5149
38	204	5032
39	205	4926
40	206	4822
41	206	4717
42	207	4619
43	208	4528
44	209	4437
45	209	4351
46	210	4267
47	211	4197
48	212	4129
49	213	4060
50	214	3988
51	214	3918
52	215	3851
53	216	3786
54	216	3724
55	217	3664
56	218	3607
57	219	3558
58	219	3508
59	220	3456
60	221	3406
61	221	3357
62	222	3311
63	223	3264
64	223	3220
65	224	3178
66	225	3136
67	226	3101
68	227	3065
69	228	3035
70	229	2998
71	229	2962
72	230	2927
73	231	2893
74	231	2859
75	232	2826
76	233	2796
77	234	2769
78	235	2739
79	235	2711
80	236	2682
81	237	2654
82	237	2624
83	238	2597
84	238	2571
85	239	2546
86	240	2523
87	241	2501
88	242	2481
89	243	2461
90	244	2438
91	244	2415
92	245	2393
93	246	2371
94	246	2349
95	247	2328
96	248	2310
97	249	2292
98	249	2273
99	250	2254
100	251	2235
101	251	2217
102	252	2201
103	253	2185
104	254	2167
105	255	2156
106	256	2141
107	257	2130
108	258	2115
109	259	2100
110	260	2084
111	260	2069
112	261	2054
113	262	2040
114	263	2028
115	264	2014
116	265	1999
117	265	1986
118	266	1974
119	267	1962
120	268	1950
121	269	1937
122	270	1930
123	271	1921
124	273	1916
125	274	1904
126	275	1891
127	275	1879
128	276	1868
129	277	1858
130	278	1848
131	279	1839
132	280	1828
133	281	1818
134	282	1809
135	283	1799
136	284	1789
137	285	1782
138	286	1774
139	287	1768
140	288	1759
141	289	1748
142	290	1742
143	291	1733
144	292	1726
145	293	1719
146	294	1710
147	295	1701
148	296	1693
149	298	1688
150	299	1682
151	300	1675
152	301	1670
153	302	1662
154	303	1656
155	305	1650
156	306	1644
157	307	1637
158	308	1630
159	309	1623
160	309	1614
161	310	1607
162	311	1600
163	312	1593
164	313	1588
165	315	1586
166	317	1585
167	318	1579
168	320	1573
169	321	1567
170	322	1561
171	323	1556
172	324	1550
173	325	1543
174	326	1537
175	327	1532
176	328	1527
177	330	1524
178	331	1521
179	332	1515
180	333	1509
181	334	1504
182	335	1498
183	336	1493
184	338	1489
185	339	1483
186	339	1478
187	340	1472
188	341	1466
189	343	1466
190	346	1466
191	347	1464
192	349	1460
193	350	1455
194	351	1452
195	352	1447
196	353	1442
197	354	1437
198	356	1433
199	357	1429
200	358	1425
201	359	1421
202	361	1419
203	362	1414
204	363	1410
205	364	1405
206	365	1400
207	366	1396
208	368	1393
209	369	1390
210	370	1385
211	371	1381
212	372	1378
213	374	1375
214	375	1370
215	376	1367
216	377	1363
217	378	1358
218	379	1354
219	380	1350
220	382	1346
221	383	1343
222	384	1339
223	385	1336
224	386	1332
225	388	1329
226	389	1327
227	391	1325
228	392	1322
229	395	1323
230	396	1320
231	397	1317
232	399	1313
233	400	1310
234	401	1307
235	403	1304
236	405	1305
237	407	1303
238	408	1300
239	409	1297
240	410	1293
241	411	1290
242	412	1286
243	414	1283
244	416	1282
245	417	1279
246	418	1276
247	419	1273
248	421	1270
249	422	1266
250	423	1263
251	425	1262
252	426	1258
253	427	1255
254	428	1251
255	429	1248
256	431	1247
257	433	1246
258	434	1243
259	435	1240
260	437	1237
261	438	1234
262	439	1231
263	440	1229
264	442	1226
265	443	1222
266	444	1220
267	445	1217
268	446	1214
269	449	1214
270	450	1212
271	452	1212
272	454	1210
273	455	1207
274	457	1205
275	458	1202
276	460	1200
277	462	1201
278	464	1199
279	465	1197
280	466	1194
281	468	1192
282	470	1193
283	472	1190
284	473	1188
285	475	1186
286	476	1184
287	478	1182
288	480	1181
289	481	1179
290	483	1177
291	484	1175
292	486	1172
293	487	1170
294	488	1168
295	490	1166
296	492	1166
297	494	1164
298	495	1162
299	497	1161
300	499	1159
301	500	1157
302	502	1155
303	503	1153
304	505	1151
305	507	1150
306	508	1148
307	510	1145
308	511	1143
309	512	1141
310	514	1139
311	515	1136
312	516	1134
313	518	1132
314	519	1130
315	521	1128
316	522	1126
317	525	1126
318	526	1124
319	527	1121
320	529	1119
321	530	1117
322	533	1118
323	535	1117
324	537	1115
325	538	1113
326	540	1111
327	541	1109
328	544	1110
329	547	1110
330	548	1108
331	550	1107
332	551	1105
333	553	1103
334	554	1100
335	555	1098
336	557	1095
337	558	1094
338	560	1092
339	562	1091
340	564	1090
341	565	1088
342	567	1086
343	568	1085
344	570	1082
345	572	1082
346	576	1084
347	578	1083
348	579	1081
349	581	1079
350	582	1076
351	583	1074
352	584	1072
353	586	1069
354	587	1068
355	589	1066
356	591	1065
357	593	1064
358	594	1061
359	595	1059
360	597	1056
361	598	1054
362	599	1052
363	601	1050
364	602	1047
365	603	1045
366	605	1043
367	607	1042
368	608	1040
369	609	1038
370	611	1035
371	612	1034
372	613	1032
373	615	1029
374	616	1027
375	618	1026
376	619	1023
377	621	1022
378	623	1020
379	624	1018
380	625	1016
381	626	1014
382	628	1011
383	629	1009
384	631	1008
385	632	1006
386	633	1003
387	635	1002
388	637	1000
389	638	998
390	639	996
391	640	994
392	642	991
393	643	989
394	644	987
395	647	987
396	649	985
397	650	983
398	651	981
399	652	979
400	653	976
401	655	974
402	656	972
403	657	970
404	658	967
405	659	965
406	660	962
407	662	961
408	664	959
409	665	958
410	666	955
411	668	953
412	669	951
413	670	948
414	671	946
415	672	944
416	673	942
417	675	939
418	676	937
419	677	935
420	678	933
421	680	932
422	681	929
423	682	927
424	684	925
425	685	923
426	686	921
427	688	919
428	689	917
429	690	915
430	692	914
431	694	913
432	696	911
433	697	910
434	699	908
435	700	905
436	701	903
437	702	901
438	704	899
439	705	897
440	706	896
441	708	894
442	710	892
443	711	891
444	712	889
445	714	887
446	715	884
447	716	882
448	717	880
449	718	878
450	719	875
451	721	874
452	722	872
453	724	870
454	725	868
455	726	867
456	727	864
457	729	862
458	730	860
459	731	858
460	732	856
461	733	854
462	734	852
463	736	851
464	738	849
465	739	847
466	741	845
467	742	843
468	743	841
469	744	839
470	745	837
471	746	835
472	747	833
473	748	831
474	750	829
475	751	827
476	753	826
477	754	824
478	756	822
479	757	820
480	758	818
481	759	816
482	760	814
483	762	812
484	763	810
485	764	808
486	766	806
487	767	805
488	768	803
489	770	801
490	771	799
491	772	797
492	773	795
493	775	793
494	776	791
495	777	789
496	778	787
497	780	786
498	781	784
499	782	782
500	784	781
501	785	779
502	786	777
503	787	775
504	789	773
505	790	771
506	791	769
507	792	767
508	793	765
509	795	764
510	797	763
511	798	761
512	800	759
513	801	757
514	802	755
515	803	753
516	804	751
517	805	749
518	806	747
519	808	745
520	809	744
521	811	743
522	813	741
523	814	739
524	815	738
525	816	736
526	818	734
527	819	732
528	820	730
529	821	728
530	822	726
531	824	725
532	825	723
533	827	721
534	828	720
535	829	718
536	830	716
537	831	714
538	832	712
539	834	710
540	835	708
541	836	706
542	838	705
543	840	704
544	841	702
545	842	700
546	844	699
547	845	697
548	846	695
549	847	693
550	848	691
551	849	689
552	850	687
553	852	686
554	854	685
555	856	683
556	857	681
557	858	680
558	859	678
559	860	676
560	862	674
561	863	672
562	864	670
563	865	668
564	866	667
565	868	666
566	870	664
567	871	663
568	873	661
569	874	659
570	875	657
571	876	655
572	878	654
573	879	652
574	880	651
575	882	649
576	883	647
577	885	646
578	886	644
579	887	642
580	888	641
581	889	639
582	891	637
583	892	635
584	893	633
585	894	631
586	895	630
587	897	628
588	898	627
589	900	625
590	901	623
591	902	622
592	903	620
593	904	618
594	906	616
595	907	614
596	908	613
597	909	611
598	910	609
599	912	608
600	913	606
601	914	604
602	916	603
603	917	601
604	918	599
605	919	597
606	920	596
607	921	594
608	922	592
609	923	590
610	925	588
611	926	587
612	928	586
613	929	584
614	930	582
615	932	580
616	933	579
617	934	577
618	935	575
619	937	574
620	938	572
621	939	570
622	941	569
623	943	568
624	945	567
625	946	565
626	947	563
627	948	561
628	949	559
629	950	558
630	951	556
631	952	554
632	954	553
633	955	551
634	957	550
635	958	548
636	960	547
637	961	545
638	962	543
639	963	541
640	964	540
641	966	538
642	967	537
643	969	535
644	971	534
645	973	533
646	974	531
647	975	530
648	976	528
649	977	526
650	978	524
651	980	523
652	981	521
653	982	519
654	983	518
655	984	516
656	986	514
657	987	513
658	988	511
659	989	509
660	990	508
661	991	506
662	993	504
663	994	503
664	996	501
665	997	500
666	998	498
667	999	496
668	1001	495
669	1002	493
670	1003	491
671	1004	490
672	1005	488
673	1006	486
674	1007	485
675	1009	483
676	1010	482
677	1012	480
678	1013	479
679	1014	477
680	1015	475
681	1017	474
682	1018	472
683	1019	470
684	1020	469
685	1021	467
686	1022	465
687	1024	464
688	1025	463
689	1027	461
690	1028	459
691	1029	458
692	1030	456
693	1031	455
694	1033	453
695	1034	451
696	1035	449
697	1036	448
698	1037	446
699	1039	445
700	1041	444
701	1042	442
702	1043	440
703	1044	439
704	1045	437
705	1046	435
706	1047	434
707	1048	432
708	1049	430
709	1050	429
710	1052	427
711	1053	426
712	1055	424
713	1056	423
714	1057	421
715	1059	420
716	1060	418
717	1061	417
718	1062	415
719	1063	413
720	1064	412
721	1066	410
722	1067	409
723	1069	407
724	1070	406
725	1071	404
726	1072	402
727	1074	401
728	1075	399
729	1076	398
730	1077	396
731	1078	394
732	1079	393
733	1080	391
734	1082	390
735	1084	388
736	1085	387
737	1087	385
738	1088	384
739	1089	382
740	1090	381
741	1091	379
742	1092	377
743	1093	376
744	1094	374
745	1095	373
746	1097	371
747	1099	370
748	1100	368
749	1101	367
750	1102	365
751	1103	363
752	1104	362
753	1105	360
754	1106	359
755	1107	357
756	1108	355
757	1111	354
758	1113	353
759	1114	352
760	1116	350
761	1117	348
762	1118	347
763	1119	345
764	1120	344
765	1122	342
766	1123	341
767	1125	339
768	1127	338
769	1128	337
770	1130	335
771	1131	334
772	1132	332
773	1133	331
774	1134	329
775	1136	327
776	1137	326
777	1139	325
778	1141	323
779	1143	322
780	1144	320
781	1145	319
782	1147	317
783	1148	316
784	1149	314
785	1151	313
786	1152	311
787	1154	310
788	1156	309
789	1157	307
790	1159	306
791	1160	304
792	1161	303
793	1163	301
794	1164	300
795	1165	298
796	1167	297
797	1170	296
798	1172	294
799	1173	293
800	1174	291
801	1176	290
802	1177	288
803	1178	287
804	1180	285
805	1181	284
806	1183	282
807	1184	281
808	1186	280
809	1187	278
810	1188	277
811	1190	275
812	1191	274
813	1192	272
814	1194	271
815	1195	269
816	1196	268
817	1198	266
818	1200	265
819	1201	263
820	1203	262
821	1204	260
822	1205	259
823	1206	257
824	1209	256
825	1210	254
826	1211	253
827	1213	252
828	1215	250
829	1217	249
830	1218	247
831	1219	246
832	1220	244
833	1222	243
834	1223	241
835	1224	240
836	1225	238
837	1227	237
838	1228	235
839	1230	234
840	1231	232
841	1232	231
842	1234	229
843	1235	228
844	1236	226
845	1237	225
846	1238	223
847	1239	222
848	1241	220
849	1243	219
850	1244	217
851	1246	216
852	1247	215
853	1248	213
854	1249	211
855	1250	210
856	1252	208
857	1253	207
858	1254	205
859	1255	204
860	1258	203
861	1259	201
862	1261	200
863	1262	198
864	1263	197
865	1264	195
866	1265	194
867	1267	192
868	1268	191
869	1269	189
870	1271	188
871	1272	186
872	1274	185
873	1275	183
874	1277	182
875	1277	180
876	1279	179
877	1280	177
878	1281	176
879	1282	174
880	1284	173
881	1285	171
882	1286	170
883	1287	168
884	1288	167
885	1289	165
886	1290	164
887	1291	162
888	1293	161
889	1294	160
890	1296	158
891	1297	157
892	1298	155
893	1299	154
894	1300	152
895	1302	151
896	1303	149
897	1304	148
898	1305	146
899	1306	145
900	1308	143
901	1309	142
902	1311	140
903	1312	139
904	1313	137
905	1314	136
906	1315	134
907	1317	133
908	1318	131
909	1319	130
910	1320	128
911	1321	127
912	1323	126
913	1325	124
914	1326	123
915	1328	121
916	1329	120
917	1330	118
918	1331	117
919	1332	115
920	1333	114
921	1334	112
922	1336	111
923	1337	110
924	1339	108
925	1340	107
926	1341	105
927	1342	104
928	1343	102
929	1344	101
930	1346	99
931	1347	98
932	1348	96
933	1349	95
934	1350	93
935	1352	92
936	1354	91
937	1355	89
938	1356	88
939	1358	86
940	1358	85
941	1360	83
942	1361	82
943	1362	80
944	1363	79
945	1364	77
946	1365	76
947	1367	74
948	1368	73
949	1370	72
950	1371	70
951	1372	69
952	1373	67
953	1374	66
954	1375	64
955	1377	63
956	1378	61
957	1380	60
958	1381	59
